LC08_L1TP_193026_20220803_20220806_02_T1,LC08_L1TP_193027_20221006_20221013_02_T1,LC08_L1TP_193027_20220803_20220806_02_T1,LC08_L1TP_193026_20220224_20220303_02_T1,LC08_L1TP_193027_20220224_20220303_02_T1,LC08_L1TP_193027_20220123_20220128_02_T1,LC09_L1TP_193027_20220115_20230501_02_T1,LC08_L1TP_193027_20220107_20220114_02_T1,LC08_L1TP_193026_20211222_20211230_02_T1,LC08_L1TP_193027_20211222_20211230_02_T1,LC09_L1TP_193027_20211214_20230504_02_T1,LC08_L1TP_193027_20211120_20211130_02_T1,LC08_L1TP_193026_20210221_20210303_02_T1,LC08_L1TP_193027_20210221_20210303_02_T1,LC08_L1TP_193027_20210205_20210205_02_T1,LC08_L1TP_193027_20210120_20210307_02_T1,LC08_L1TP_193027_20210104_20210309_02_T1,LC08_L1TP_193027_20201219_20210310_02_T1,LC08_L1TP_193027_20201203_20210313_02_T1,LC08_L1TP_193027_20201117_20210315_02_T1
0.7556988925879331,0.367121697352081,0.7645208219286488,,,,,,,,,,0.21677071429036676,0.21794519934713907,,,,,,0.052877511163239355
0.3732118509471398,0.07158431349413164,0.3684294247366289,,,,,,,,,,0.08863736498713592,0.08796997034562892,,,,,,-0.037924096581839706
0.12928704877198172,-0.09164462481600211,0.12699657146285404,,,,,,,,,,-0.2577043028125754,-0.25713949383012746,,,,,,-0.07988377629403676
0.13406404393167293,0.012794988416793274,0.1339399396220351,,,,,,,,,,-0.20028596233331264,-0.2007076229142779,,,,,,-0.08839840079698646
-0.35169671134759284,-0.32828741051168464,-0.33348021474153455,,,,,,,,,,-1.3943253953813084,-1.3929822086915031,,,,,,
0.4405646620168646,-0.0507521699398481,0.42769264779250094,,,,,,,,,,-0.1579930164725134,-0.1588497986569557,,,,,,
0.16514760603233114,-0.037922338592554894,0.181133754260852,,,,,,,,,,-0.17971978859770488,-0.18068348609334173,,,,,,
0.6002617813049795,0.15795282611975026,0.5886794273905025,,,,,,,,,,-0.12812628041267082,-0.1287842712570999,,,,,,
0.3633078913626555,0.11973905629526271,0.35723813074044486,,,,,,,,,,-0.10829885231978942,-0.10747066589094345,,,,,,
0.40099340226710467,0.031183906449825827,0.391232113599262,,,,,,,,,,-0.3269088867993801,-0.325131509333076,,,,,,
0.20129088245073845,-0.01300922881453559,0.18416285921890108,,,,,,,,,,-0.11077799961113932,-0.11617544503804744,,,,,,
0.6257960388341246,0.21247606741539116,0.6220347652434661,,,,,,,,,,-0.3295516226198778,,,,,,,
-0.4641261836751731,-0.2688888216392691,-0.4614545358286932,,,,,,,,,,-0.1514172445266304,-0.14808206456071282,,,,,,-0.06799253203114386
1.1512468169565153,0.203472839278799,1.1419810268059258,,,,,,,,,,-0.24097007489688238,-0.2393660217904099,,,,,,
0.766547557715338,0.2418357442497019,0.7575526726691386,,,,,,,,,,-0.018145585852023416,-0.018026725204709493,,,,,,
0.23899757281925105,-0.0001269690059970685,0.24285725747196452,,,,,,,,,,-0.36489448653441325,-0.367593477732469,,,,,,
0.2026905828564054,0.0765697295691048,0.22467113781812742,,,,,,,,,,-0.16729413492557832,-0.1647041589314231,,,,,,
-0.32152282443960445,-0.3074309998940983,-0.3041640460652637,,,,,,,,,,-0.902196973329632,-0.9082191363523826,,,,,,
